c102,10,1810.0,1150.0,1090.0,1126.6666666666667,0.3646408839779005
c103,10,1810.0,1280.0,1150.0,1196.6666666666667,0.2928176795580111
c106,10,1810.0,,,,
c107,10,1810.0,1140.0,1100.0,1126.6666666666667,0.37016574585635365
c109,10,1810.0,1240.0,1200.0,1216.6666666666667,0.3149171270718232
c201,4,1810.0,1650.0,1610.0,1633.3333333333333,0.08839779005524862
c204,4,1810.0,1740.0,1640.0,1676.6666666666667,0.03867403314917128
c205,4,1810.0,1710.0,1680.0,1696.6666666666667,0.05524861878453036
c207,4,1810.0,1670.0,1620.0,1640.0,0.07734806629834257
pr01,3,657.0,581.0,560.0,567.6666666666666,0.1156773211567732
pr04,12,2477.0,1255.0,1179.0,1212.0,0.4933387161889382
pr07,5,948.0,755.0,731.0,739.6666666666666,0.20358649789029537
pr10,20,3850.0,1678.0,1466.0,1588.0,0.5641558441558441
r101,19,1458.0,1060.0,1033.0,1044.3333333333333,0.27297668038408784
r102,17,1458.0,1044.0,987.0,1015.0,0.28395061728395066
r103,13,1458.0,945.0,923.0,935.3333333333334,0.35185185185185186
r106,12,1458.0,969.0,913.0,938.3333333333334,0.3353909465020576
r107,10,1458.0,855.0,824.0,843.3333333333334,0.4135802469135802
r109,11,1458.0,902.0,879.0,890.6666666666666,0.38134430727023316
r110,10,1458.0,847.0,808.0,826.3333333333334,0.41906721536351166
r201,4,1458.0,1359.0,1255.0,1293.0,0.0679012345679012
r203,3,1458.0,1368.0,1351.0,1357.0,0.06172839506172845
r206,3,1458.0,1397.0,1372.0,1388.3333333333333,0.041838134430727036
r207,2,1458.0,1076.0,1020.0,1048.0,0.2620027434842249
r210,3,1458.0,1388.0,1351.0,1364.0,0.0480109739368999
rc102,12,1724.0,1081.0,1065.0,1072.0,0.37296983758700697
rc103,11,1724.0,1020.0,965.0,1000.3333333333334,0.40835266821345706
rc105,13,1724.0,1087.0,1076.0,1082.0,0.36948955916473314
rc107,11,1724.0,1105.0,995.0,1037.3333333333333,0.35904872389791187
rc108,10,1724.0,983.0,938.0,966.3333333333334,0.42981438515081205
rc201,4,1724.0,1589.0,1468.0,1518.3333333333333,0.07830626450116007
rc204,3,1724.0,1439.0,1436.0,1437.6666666666667,0.1653132250580046
rc207,3,1724.0,1442.0,1404.0,1429.0,0.1635730858468677
rc208,3,1724.0,1488.0,1400.0,1431.6666666666667,0.13689095127610207
